d,date,dailyCPUE
1,24-Jun,NA
2,25-Jun,NA
3,26-Jun,NA
4,27-Jun,NA
5,28-Jun,NA
6,29-Jun,NA
7,30-Jun,NA
8,1-Jul,23.92939429
9,2-Jul,92.4
10,3-Jul,60.51276254
11,4-Jul,95.9
12,5-Jul,19.90984345
13,6-Jul,139.7
14,7-Jul,86.04827737
15,8-Jul,49.7
16,9-Jul,36.19156666
17,10-Jul,86.6
18,11-Jul,43.80010113
19,12-Jul,70.19366148
20,13-Jul,71.68801574
21,14-Jul,59
22,15-Jul,229.0762589
23,16-Jul,175.5381295
24,17-Jul,141.9
25,18-Jul,176.5
26,19-Jul,103.5
27,20-Jul,35.1
28,21-Jul,97.59383562
29,22-Jul,67.73278732
30,23-Jul,78.7
31,24-Jul,42.3
32,25-Jul,18.9
33,26-Jul,14.65
34,27-Jul,13
35,28-Jul,39.2
36,29-Jul,131.9745475
37,30-Jul,85.58727185
38,31-Jul,
