year,a,b,description,mean
1979,-3.338,0.2004,test fish profile (mean date past transect,10-Jul
1980,-2.2403,0.1612,test fish profile (mean date past transect,6-Jul
1981,-2.5243,0.1819,test fish profile (mean date past transect,6-Jul
1982,-3.7156,0.1633,test fish profile (mean date past transect,17-Jul
1983,-4.2732,0.1884,test fish profile (mean date past transect,15-Jul
1984,-3.4018,0.1834,test fish profile (mean date past transect,12-Jul
1985,-3.5633,0.1626,test fish profile (mean date past transect,15-Jul
1986,-3.8642,0.1719,test fish profile (mean date past transect,16-Jul
1987,-4.6385,0.1785,test fish profile (mean date past transect,18-Jul
1988,-3.5655,0.1662,test fish profile (mean date past transect,13-Jul
1989,-2.7031,0.1238,test fish profile (mean date past transect,15-Jul
1990,-5.7085,0.2211,test fish profile (mean date past transect,18-Jul
1991,-4.6331,0.1919,test fish profile (mean date past transect,17-Jul
1992,-5.4043,0.2217,test fish profile (mean date past transect,17-Jul
1993,-3.9018,0.1797,test fish profile (mean date past transect,14-Jul
1994,-3.9757,0.1453,test fish profile (mean date past transect,19-Jul
1995,-4.6219,0.2078,test fish profile (mean date past transect,15-Jul
1996,-4.4605,0.2144,test fish profile (mean date past transect,13-Jul
1997,-3.7,0.1496,test fish profile (mean date past transect,16-Jul
1998,-3.7142,0.1515,test fish profile (mean date past transect,18-Jul
1999,-5.15,0.2081,test fish profile (mean date past transect,18-Jul
2000,-4.9141,0.248,test fish profile (mean date past transect,13-Jul
2001,-3.9823,0.2041,test fish profile (mean date past transect,13-Jul
2002,-4.0642,0.2068,test fish profile (mean date past transect,13-Jul
2003,-4.4402,0.2068,test fish profile (mean date past transect,14-Jul
2004,-4.6374,0.1903,test fish profile (mean date past transect,17-Jul
2005,-3.7152,0.1302,test fish profile (mean date past transect,21-Jul
2006,-4.0762,0.1308,test fish profile (mean date past transect,24-Jul
2007,-4.6427,0.1793,test fish profile (mean date past transect,19-Jul
2008,-2.793,0.1513,test fish profile (mean date past transect,11-Jul
2009,-4.413,0.2173,test fish profile (mean date past transect,13-Jul
2010,-3.1347,0.1459,test fish profile (mean date past transect,14-Jul
2011,-5.5481,0.2384,test fish profile (mean date past transect,17-Jul
2012,-5.0793,0.2399,test fish profile (mean date past transect,14-Jul
2014,-3.9579,0.1711,test fish profile (mean date past transect,16-Jul
2015,-7.0977,0.2216,test fish profile (mean date past transect,25-Jul
2016,-3.8479,0.1569,test fish profile (mean date past transect,18-Jul
2017,-3.4043,0.1248,test fish profile (mean date past transect,20-Jul
2018,-3.6612,0.1359,test fish profile (mean date past transect,20-Jul
2019,-4.2023,0.1511,test fish profile (mean date past transect,21-Jul
2020,-3.6187,0.1184,test fish profile (mean date past transect,23-Jul
2021,-4.8912,0.141,test fish profile (mean date past transect,29-Jul
2022,-4.4443005,0.2041,test fish profile (mean date past transect,15-Jul
